time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.02,-0.000,-0.001,0.026,2.40,0.00,0,0
0.12,0.000,0.000,0.021,2.27,0.01,0,0
0.23,0.000,0.001,0.022,2.13,0.01,0,0
0.35,0.000,0.003,0.036,1.99,0.02,0,0
0.45,-0.000,0.005,0.067,1.85,0.05,0,0
0.56,-0.002,0.008,0.124,1.73,0.11,0,0
0.65,-0.004,0.010,0.181,1.63,0.17,0,0
0.76,-0.006,0.011,0.252,1.55,0.24,0,0
0.85,-0.008,0.011,0.316,1.51,0.30,0,0
0.97,-0.009,0.011,0.379,1.51,0.36,0,0
1.05,-0.010,0.010,0.437,1.54,0.42,0,0
1.16,-0.010,0.008,0.531,1.61,0.52,0,0
1.28,-0.010,0.007,0.573,1.69,0.56,0,0
1.35,-0.009,0.006,0.629,1.75,0.61,0,0
1.45,-0.008,0.005,0.675,1.84,0.66,0,0
1.54,-0.008,0.004,0.705,1.91,0.69,0,0
1.64,-0.006,0.003,0.762,1.97,0.75,0,0
1.75,-0.005,0.002,0.796,1.92,0.78,0,0
1.84,-0.004,0.001,0.829,1.86,0.82,0,0
1.95,-0.004,0.001,0.853,1.80,0.84,0,0
2.06,-0.003,0.001,0.875,1.74,0.86,0,0
2.17,-0.002,-0.000,0.904,1.69,0.89,0,0
2.26,-0.002,-0.001,0.921,1.66,0.91,0,0
2.36,-0.002,-0.001,0.932,1.65,0.92,0,0
2.46,-0.001,-0.001,0.941,1.66,0.93,0,0
2.56,-0.001,-0.002,0.952,1.69,0.94,0,0
2.66,-0.000,-0.002,0.961,1.74,0.95,0,0
2.76,0.000,-0.002,0.973,1.83,0.96,0,0
2.87,0.000,-0.002,0.977,1.94,0.96,0,0
2.95,0.001,-0.003,0.983,2.03,0.97,0,0
3.05,0.001,-0.003,0.985,2.16,0.97,0,0
3.16,0.001,-0.003,0.989,2.29,0.98,0,0
3.25,0.001,-0.003,0.993,2.41,0.98,0,0
3.34,0.001,-0.003,0.993,2.52,0.98,0,0
3.44,0.001,-0.002,0.996,2.63,0.98,0,0
3.59,0.001,-0.002,0.997,2.72,0.98,0,0
3.65,0.001,-0.002,0.998,2.78,0.98,0,0
3.74,0.001,-0.002,0.999,2.70,0.99,0,0
3.85,0.001,-0.002,1.000,2.60,0.99,0,0
3.95,0.001,-0.002,1.000,2.49,0.99,0,0
4.05,0.001,-0.002,1.000,2.37,0.99,0,0
4.20,0.001,-0.002,1.001,2.23,0.99,0,0
4.25,0.001,-0.002,1.001,2.12,0.99,0,0
4.36,0.001,-0.001,1.001,2.01,0.99,0,0
4.48,0.000,-0.001,1.001,1.88,0.99,0,0
4.55,0.000,-0.001,1.001,1.81,0.99,0,0
4.65,0.000,-0.001,1.001,1.74,0.99,0,0
4.74,0.000,-0.001,1.001,1.70,0.99,0,0
4.90,0.000,-0.001,1.001,1.68,0.99,0,0
4.94,0.000,-0.001,1.001,1.68,0.99,0,0
5.05,-0.000,-0.001,1.001,1.71,0.99,0,0
5.16,-0.000,-0.001,1.001,1.76,0.99,0,0
5.24,-0.000,-0.001,1.000,1.81,0.99,0,0
